line_no,case,order_tag,modules,kept_metric_count,over10_count,over20_count,worst_metric,worst_rel_pct,worst_combo_mpki,worst_combo_count,worst_sum_count
107,combo_017_s3,canonical,cold_b128_d4_bitrev+mix_b64_ld1_rand_p512_np1_r100+mix_b64_ld4_pstr_p512_np1_sp17_r100,16,3,3,l2d_tlb_refill:u,926.02,0.106961,5007,488
108,combo_017_s3,shuffle_mixslot1_mix_s4096_l1_rand_p512_np1_r100_mixslot3_mix_s4096_l4_pstr17_p512_np1_sp17_r100_main_b128_rand_p1_np1_l1_r100,mix_b64_ld1_rand_p512_np1_r100+mix_b64_ld4_pstr_p512_np1_sp17_r100+cold_b128_d4_bitrev,15,2,2,ll_cache_miss:u,-46.15,0.110357,5166,9593
114,combo_018_s3,canonical,mix_b128_ld7_rand_p128_np1_r100+mix_b64_ld4_pstr_p512_np4_sp17_r100+mix_b64_ld4_lstr_p512_np4_sl5_r100,15,2,2,l2d_tlb_refill:u,12344.98,0.913821,38455,309
115,combo_018_s3,shuffle_mixslot1_mix_s4096_l4_pstr17_p512_np4_sp17_r100_mixslot5_mix_s4096_l4_lstr5_p512_np4_sl5_r100_mixslot0_mix_s8192_l7_rand_p128_np1_r100,mix_b64_ld4_pstr_p512_np4_sp17_r100+mix_b64_ld4_lstr_p512_np4_sl5_r100+mix_b128_ld7_rand_p128_np1_r100,15,3,2,l2d_tlb_refill:u,12530.42,0.927438,39028,309
121,combo_019_s3,canonical,hot_b128_bp3_r100+mix_b128_ld2_rand_p128_np1_r100+mix_b64_ld7_lin_p128_np4_r100,14,4,3,ll_cache_miss:u,57.56,0.513246,28178,17884
122,combo_019_s3,shuffle_mixslot2_mix_s8192_l2_rand_p128_np1_r100_mixslot3_mix_s4096_l7_lin_p128_np4_r100_hot_s8192_rand_p1_np4_l2_r100,mix_b128_ld2_rand_p128_np1_r100+mix_b64_ld7_lin_p128_np4_r100+hot_b128_bp3_r100,14,2,1,ll_cache_miss:u,94.73,0.634335,34826,17884
128,combo_020_s3,canonical,hot_b128_bp3_r100+itlb_f64_l1_r100+mix_b128_ld14_rand_p128_np4_r100,19,4,3,ll_cache_miss:u,795.49,0.160820,8937,998
129,combo_020_s3,shuffle_hot_s8192_rand_p1_np1_l2_r100_mixslot1_mix_s8192_l14_rand_p128_np4_r100_itlb_f64_rand_p128_np1_l1_r100,hot_b128_bp3_r100+mix_b128_ld14_rand_p128_np4_r100+itlb_f64_l1_r100,19,7,5,ll_cache_miss:u,1109.02,0.217126,12066,998
135,combo_021_s3,canonical,hot_b128_bp3_r100+mix_b128_ld4_pstr_p512_np4_sp17_r100+mix_b128_ld7_pstr_p128_np4_sp17_r100,14,1,1,ll_cache_miss:u,65.47,0.229027,14626,8839
136,combo_021_s3,shuffle_mixslot5_mix_s8192_l7_pstr17_p128_np4_sp17_r100_hot_s8192_rand_p128_np4_l1_r100_mixslot2_mix_s8192_l4_pstr17_p512_np4_sp17_r100,mix_b128_ld7_pstr_p128_np4_sp17_r100+hot_b128_bp3_r100+mix_b128_ld4_pstr_p512_np4_sp17_r100,14,1,1,ll_cache_miss:u,211.17,0.430682,27504,8839
142,combo_022_s3,canonical,cold_b64_d4_bitrev+mix_b128_ld2_pstr_p512_np4_sp17_r100+mix_b128_ld4_lstr_p128_np4_sl5_r100,15,4,1,ll_cache_miss:u,557.94,0.810594,44819,6812
143,combo_022_s3,shuffle_mixslot6_mix_s8192_l4_lstr5_p128_np4_sl5_r100_main_b64_lin_p1_np1_l2_r100_mixslot1_mix_s8192_l2_pstr17_p512_np4_sp17_r100,mix_b128_ld4_lstr_p128_np4_sl5_r100+cold_b64_d4_bitrev+mix_b128_ld2_pstr_p512_np4_sp17_r100,15,4,1,ll_cache_miss:u,294.29,0.485771,26859,6812
149,combo_023_s3,canonical,itlb_f128_l1_r100+mix_b128_ld14_pstr_p128_np4_sp17_r100+mix_b64_ld14_rand_p524288_np1_r100,21,1,1,l2i_tlb_refill:u,5449.22,0.266952,14317,258
