suite,case,order_tag,modules,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
combo_linearity_g1_tg1_sz,combo_000_s2,single,hot_b64_bp2_r100_hot_s_nstr_n512_p1_np512_l1_sn1,106563,117795,14803,297,17790,601,17790,53,600,528,96,21,9780,150,10492,60,1607,1002,88,28,406,43,1.1054,,0.0338,0.0030,0.8800,0.2188,0.0153,0.0057,0.6235,0.3182,0.1059,,125.6675,2.5213,151.0251,5.1021,151.0251,0.4499,5.0936,4.4824,0.8150,0.1783,83.0256,1.2734,89.0700,0.5094,13.6423,8.5063,0.7471,0.2377,3.4467,0.3650
combo_linearity_g1_tg1_sz,combo_000_s2,single,itlb_f256_l1_r100_hot_s_nstr_n512_p1_np512_l1_sn1,1794038,444241,27492,296,58911,69319,58911,25856,69319,54892,25899,189,28924,289,29685,61,74462,55122,81,11,656,91,0.2476,,1.1767,0.4389,0.7919,0.0073,0.0100,0.0021,0.7403,0.1358,0.1387,,61.8853,0.6663,132.6105,156.0392,132.6105,58.2026,156.0392,123.5636,58.2994,0.4254,65.1088,0.6505,66.8218,0.1373,167.6162,124.0813,0.1823,0.0248,1.4767,0.2048
combo_linearity_g1_tg1_sz,combo_000_s2,canonical,hot_b64_bp2_r100_hot_s_nstr_n512_p1_np512_l1_sn1+itlb_f256_l1_r100_hot_s_nstr_n512_p1_np512_l1_sn1,2099643,556938,41296,311,74759,71272,74759,25955,71269,54504,26008,302,36825,256,37724,57,75282,54877,84,29,656,173,0.2653,,0.9534,0.3472,0.7648,0.0116,0.0070,0.0015,0.7290,0.3452,0.2637,,74.1483,0.5584,134.2322,127.9712,134.2322,46.6030,127.9658,97.8637,46.6982,0.5423,66.1205,0.4597,67.7346,0.1023,135.1712,98.5334,0.1508,0.0521,1.1779,0.3106
combo_linearity_g1_tg1_sz,combo_000_s2,shuffle_itlb_f256_l1_d0_hot_s_ns_n512_p1_np512_l1_r100_sn1_hot_s4096_bp2_hot_s_ns_n512_p1_np512_l1_r100_sn1,itlb_f256_l1_r100_hot_s_nstr_n512_p1_np512_l1_sn1+hot_b64_bp2_r100_hot_s_nstr_n512_p1_np512_l1_sn1,1899230,556938,41296,306,74257,69963,74257,25957,69961,54892,26018,304,36779,179,37695,61,75454,56375,85,34,750,153,0.2932,,0.9422,0.3496,0.7846,0.0117,0.0049,0.0016,0.7471,0.4000,0.2040,,74.1483,0.5494,133.3308,125.6208,133.3308,46.6066,125.6172,98.5603,46.7162,0.5458,66.0379,0.3214,67.6826,0.1095,135.4801,101.2231,0.1526,0.0610,1.3466,0.2747
combo_linearity_g1_tg1_sz,combo_000_s2,sum,hot_b64_bp2_r100_hot_s_nstr_n512_p1_np512_l1_sn1+itlb_f256_l1_r100_hot_s_nstr_n512_p1_np512_l1_sn1,1900601,562036,42295,593,76701,69920,76701,25909,69919,55420,25995,210,38704,439,40177,121,76069,56124,169,39,1062,134,0.2957,,0.9116,0.3378,0.7926,0.0081,0.0113,0.0030,0.7378,0.2308,0.1262,,75.2532,1.0551,136.4699,124.4048,136.4699,46.0985,124.4031,98.6058,46.2515,0.3736,68.8639,0.7811,71.4847,0.2153,135.3454,99.8584,0.3007,0.0694,1.8896,0.2384
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
