suite,case,order_tag,modules,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
combo_linearity_safe,combo_001_s2,sum,hot_b128_bp3_r100_lin_p128_np4_l1+itlb_f64_l1_r100_lin_p128_np4_l2,81555627,34091976,4672806,936,4438079,1796168,4438079,660119,1796162,134420,660239,127,2830955,908426,4017177,680133,7123428,1363675,682565,164,1205343,3009,0.4180,,0.4047,0.1487,0.0748,0.0002,0.3209,0.1693,0.1914,0.0002,0.0025,,137.0647,0.0275,130.1796,52.6859,130.1796,19.3629,52.6858,3.9429,19.3664,0.0037,83.0387,26.6463,117.8335,19.9499,208.9473,39.9999,20.0213,0.0048,35.3556,0.0883
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity_safe,combo_002_s2,single,hot_b64_bp3_r100_lin_p128_np1_l1,27276694,11280988,2021403,403,1487465,627,1487465,42,626,514,72,17,775688,609900,1497820,660078,1761822,465493,660241,20,464969,40,0.4136,,0.0004,0.0000,0.8211,0.2361,0.7863,0.4407,0.2642,0.0000,0.0001,,179.1867,0.0357,131.8559,0.0556,131.8559,0.0037,0.0555,0.0456,0.0064,0.0015,68.7606,54.0644,132.7738,58.5124,156.1762,41.2635,58.5269,0.0018,41.2170,0.0035
combo_linearity_safe,combo_002_s2,single,itlb_f64_l1_r100_lstr_p512_np2_l1_sl3,57522534,11290994,731401,505,1504215,1383744,1504215,660095,1383744,64123,660184,119,775414,655296,1520885,664893,4122056,1368837,664926,118,1282027,260,0.1963,,0.9199,0.4388,0.0463,0.0002,0.8451,0.4372,0.3321,0.0002,0.0002,,64.7774,0.0447,133.2225,122.5529,133.2225,58.4621,122.5529,5.6791,58.4700,0.0105,68.6754,58.0371,134.6989,58.8870,365.0747,121.2326,58.8899,0.0105,113.5442,0.0230
combo_linearity_safe,combo_002_s2,canonical,hot_b64_bp3_r100_lin_p128_np1_l1+itlb_f64_l1_r100_lstr_p512_np2_l1_sl3,79105603,22561297,2751604,618,2995025,1337115,2995025,670146,1337115,37281,670235,83,1546596,1245823,3032204,1326696,5785083,1811617,1326870,1065,1774966,2865,0.2852,,0.4464,0.2238,0.0279,0.0001,0.8055,0.4375,0.3132,0.0008,0.0016,,121.9613,0.0274,132.7506,59.2659,132.7506,29.7033,59.2659,1.6524,29.7073,0.0037,68.5508,55.2195,134.3985,58.8041,256.4162,80.2976,58.8118,0.0472,78.6730,0.1270
combo_linearity_safe,combo_002_s2,shuffle_itlb_f64_lstrd_p512_np2_l1_r100_sl3_hot_s4096_lin_p128_np1_l1_r100,itlb_f64_l1_r100_lstr_p512_np2_l1_sl3+hot_b64_bp3_r100_lin_p128_np1_l1,75364077,22561297,2751604,565,3007111,1060712,3007111,670191,1060709,40249,670336,142,1547009,1249362,3031012,1327554,5588733,2090260,1327833,320,2059846,2273,0.2994,,0.3527,0.2229,0.0379,0.0002,0.8076,0.4380,0.3740,0.0002,0.0011,,121.9613,0.0250,133.2863,47.0147,133.2863,29.7053,47.0145,1.7840,29.7118,0.0063,68.5692,55.3763,134.3456,58.8421,247.7133,92.6480,58.8545,0.0142,91.3000,0.1007
combo_linearity_safe,combo_002_s2,sum,hot_b64_bp3_r100_lin_p128_np1_l1+itlb_f64_l1_r100_lstr_p512_np2_l1_sl3,84799228,22571982,2752804,908,2991680,1384371,2991680,660137,1384370,64637,660256,136,1551102,1265196,3018705,1324971,5883878,1834330,1325167,138,1746996,300,0.2662,,0.4627,0.2207,0.0467,0.0002,0.8157,0.4389,0.3118,0.0001,0.0002,,121.9567,0.0402,132.5395,61.3314,132.5395,29.2459,61.3313,2.8636,29.2511,0.0060,68.7180,56.0516,133.7368,58.6998,260.6717,81.2658,58.7085,0.0061,77.3967,0.0133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity_safe,combo_003_s2,single,cold_b64_d4_bitrev_pstr_p128_np4_l1_sp3,35198327,12950988,1031403,130663,3505558,682,3505558,49,681,602,90,15,1536186,615215,2287251,660081,2177657,811508,660346,17,810894,3576,0.3679,,0.0002,0.0000,0.8840,0.1667,0.4005,0.2886,0.3727,0.0000,0.0044,,79.6389,10.0890,270.6788,0.0527,270.6788,0.0038,0.0526,0.0465,0.0069,0.0012,118.6154,47.5033,176.6082,50.9676,168.1460,62.6599,50.9881,0.0013,62.6125,0.2761
combo_linearity_safe,combo_003_s2,single,fetch_b64_d1_bp0_s16_r100_lstr_p512_np1_l1_sl3,60213112,18231003,1991402,591996,9226415,640,9226415,45,640,571,85,21,4005359,653513,6592736,682069,2766076,1306225,685543,72,1305577,4942,0.3028,,0.0001,0.0000,0.8922,0.2471,0.1632,0.1035,0.4722,0.0001,0.0038,,109.2316,32.4719,506.0838,0.0351,506.0838,0.0025,0.0351,0.0313,0.0047,0.0012,219.7004,35.8462,361.6222,37.4126,151.7237,71.6486,37.6031,0.0039,71.6130,0.2711
combo_linearity_safe,combo_003_s2,canonical,cold_b64_d4_bitrev_pstr_p128_np4_l1_sp3+fetch_b64_d1_bp0_s16_r100_lstr_p512_np1_l1_sl3,74841925,31171297,3021604,727055,12106780,892,12106780,46,892,726,74,26,5617396,1234334,9098154,1342932,4702071,1883556,1358308,691,1882645,3378,0.4165,,0.0001,0.0000,0.8139,0.3514,0.2197,0.1476,0.4006,0.0005,0.0018,,96.9355,23.3245,388.3951,0.0286,388.3951,0.0015,0.0286,0.0233,0.0024,0.0008,180.2105,39.5984,291.8760,43.0823,150.8462,60.4260,43.5756,0.0222,60.3967,0.1084
combo_linearity_safe,combo_003_s2,shuffle_fetch_b64_lstrd_p512_np1_l1_r100_sl3_main_b64_pstrd_p128_np4_l1_r100_sp3,fetch_b64_d1_bp0_s16_r100_lstr_p512_np1_l1_sl3+cold_b64_d4_bitrev_pstr_p128_np4_l1_sp3,99839538,31171303,3021602,721556,11936224,893,11936224,54,892,761,116,36,5605922,1232805,9044532,1350719,4802508,1946609,1363626,133,1945812,7565,0.3122,,0.0001,0.0000,0.8531,0.3103,0.2199,0.1493,0.4053,0.0001,0.0039,,96.9354,23.1481,382.9235,0.0286,382.9235,0.0017,0.0286,0.0244,0.0037,0.0012,179.8424,39.5494,290.1557,43.3321,154.0682,62.4488,43.7462,0.0043,62.4232,0.2427
combo_linearity_safe,combo_003_s2,sum,cold_b64_d4_bitrev_pstr_p128_np4_l1_sp3+fetch_b64_d1_bp0_s16_r100_lstr_p512_np1_l1_sl3,95411439,31181991,3022805,722659,12731973,1322,12731973,94,1321,1173,175,36,5541545,1268728,8879987,1342150,4943733,2117733,1345889,89,2116471,8518,0.3268,,0.0001,0.0000,0.8880,0.2057,0.2289,0.1511,0.4284,0.0001,0.0040,,96.9407,23.1755,408.3117,0.0424,408.3117,0.0030,0.0424,0.0376,0.0056,0.0012,177.7162,40.6878,284.7793,43.0425,158.5445,67.9153,43.1624,0.0029,67.8748,0.2732
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity_safe,combo_004_s2,single,hot_b128_bp3_r100_lshuf_p1_np1_l4,25723644,26001040,3941409,496,3327280,760,3327280,53,759,646,95,25,5255326,143,5257269,60,1213,804,123,8,203,28,1.0108,,0.0002,0.0000,0.8511,0.2632,0.0000,0.0000,0.6628,0.0650,0.1379,,151.5866,0.0191,127.9672,0.0292,127.9672,0.0020,0.0292,0.0248,0.0037,0.0010,202.1198,0.0055,202.1946,0.0023,0.0467,0.0309,0.0047,0.0003,0.0078,0.0011
combo_linearity_safe,combo_004_s2,single,itlb_f64_l1_r100_pstr_p512_np4_l2_sp3,85138776,11930988,731403,473,1588557,1155553,1588557,660049,1155552,63289,660093,44,1415478,1280457,2801707,1304709,6402844,2644514,1304738,215,2565260,253,0.1401,,0.7274,0.4155,0.0548,0.0001,0.9046,0.4657,0.4130,0.0002,0.0001,,61.3028,0.0396,133.1455,96.8531,133.1455,55.3222,96.8530,5.3046,55.3259,0.0037,118.6388,107.3220,234.8261,109.3546,536.6566,221.6509,109.3571,0.0180,215.0082,0.0212
combo_linearity_safe,combo_004_s2,canonical,hot_b128_bp3_r100_lshuf_p1_np1_l4+itlb_f64_l1_r100_pstr_p512_np4_l2_sp3,110808921,37921288,4671603,636,4919793,949790,4919793,660358,949788,48815,660421,80,6665940,1279152,8040449,1303399,6197523,2623095,1303432,306,2572535,368,0.3422,,0.1931,0.1342,0.0514,0.0001,0.1919,0.1621,0.4232,0.0002,0.0001,,123.1921,0.0168,129.7370,25.0464,129.7370,17.4139,25.0463,1.2873,17.4156,0.0021,175.7836,33.7318,212.0300,34.3712,163.4312,69.1721,34.3720,0.0081,67.8388,0.0097
combo_linearity_safe,combo_004_s2,shuffle_itlb_f64_pstrd_p512_np4_l2_r100_sp3_hot_s8192_lshuf_p1_np1_l4_r100,itlb_f64_l1_r100_pstr_p512_np4_l2_sp3+hot_b128_bp3_r100_lshuf_p1_np1_l4,110768179,37921288,4671603,619,4924081,917233,4924081,660356,917233,37512,660423,74,6665793,1281047,8106328,1320232,5934442,2604323,1320269,600,2566707,413,0.3423,,0.1863,0.1341,0.0409,0.0001,0.1922,0.1629,0.4388,0.0005,0.0002,,123.1921,0.0163,129.8500,24.1878,129.8500,17.4139,24.1878,0.9892,17.4156,0.0020,175.7797,33.7817,213.7672,34.8151,156.4937,68.6771,34.8160,0.0158,67.6851,0.0109
combo_linearity_safe,combo_004_s2,sum,hot_b128_bp3_r100_lshuf_p1_np1_l4+itlb_f64_l1_r100_pstr_p512_np4_l2_sp3,110862420,37932028,4672812,969,4915837,1156313,4915837,660102,1156311,63935,660188,69,6670804,1280600,8058976,1304769,6404057,2645318,1304861,223,2565463,281,0.3422,,0.2352,0.1343,0.0553,0.0001,0.1920,0.1619,0.4131,0.0002,0.0001,,123.1891,0.0255,129.5959,30.4838,129.5959,17.4022,30.4838,1.6855,17.4045,0.0018,175.8620,33.7604,212.4583,34.3976,168.8298,69.7384,34.4000,0.0059,67.6332,0.0074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity_safe,combo_005_s2,single,hot_b64_bp3_r100_pstr_p512_np1_l1_sp3,29653628,11281003,2021402,429,1488999,615,1488999,41,614,529,130,26,775989,640114,1517120,663676,2528478,1281721,663923,171,1281062,42,0.3804,,0.0004,0.0000,0.8616,0.2000,0.8249,0.4375,0.5069,0.0003,0.0000,,179.1864,0.0380,131.9917,0.0545,131.9917,0.0036,0.0544,0.0469,0.0115,0.0023,68.7872,56.7426,134.4845,58.8313,224.1359,113.6176,58.8532,0.0152,113.5592,0.0037
combo_linearity_safe,combo_005_s2,single,itlb_f64_l1_r100_lstr_p1_np2_l1_sl5,19178829,11291040,731409,502,1496012,1057889,1496012,660184,1057887,842,660251,81,775150,147,776753,61,1047289,1136,82,14,255,56,0.5887,,0.7071,0.4413,0.0008,0.0001,0.0002,0.0001,0.0011,0.1707,0.2196,,64.7778,0.0445,132.4955,93.6928,132.4955,58.4697,93.6926,0.0746,58.4757,0.0072,68.6518,0.0130,68.7938,0.0054,92.7540,0.1006,0.0073,0.0012,0.0226,0.0050
combo_linearity_safe,combo_005_s2,canonical,hot_b64_bp3_r100_pstr_p512_np1_l1_sp3+itlb_f64_l1_r100_lstr_p1_np2_l1_sl5,65631194,22561288,2751603,558,2976434,1398319,2976434,670152,1398316,11489,670203,64,1546216,640212,2307442,666618,3671069,1292759,666755,174,1282295,506,0.3438,,0.4698,0.2252,0.0082,0.0001,0.4141,0.2889,0.3521,0.0003,0.0004,,121.9613,0.0247,131.9266,61.9787,131.9266,29.7036,61.9786,0.5092,29.7059,0.0028,68.5340,28.3766,102.2744,29.5470,162.7154,57.2999,29.5531,0.0077,56.8361,0.0224
