suite,case,order_tag,modules,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
combo_linearity,combo_001_s2,sum,cold_b16000_d1_linear_dtlb_32m_pstr_n65536_p8192_np8_l1_sp129+hot_b128_bp3_r100_dtlb_32m_pstr_n32768_p8192_np4_l4_sp17,57256508427,4506312952,484012996,160767946,2532253654,329405340,2532253654,5192673,329405090,329345504,5204223,5190655,1038221164,207170505,1930357329,167767684,1674078987,858702978,169188961,166972403,526956042,147572833,0.0787,,0.1301,0.0021,0.9998,0.9974,0.1995,0.0869,0.5129,0.9869,0.2800,,107.4078,35.6762,561.9347,73.0986,561.9347,1.1523,73.0986,73.0854,1.1549,1.1519,230.3926,45.9734,428.3673,37.2295,371.4964,190.5556,37.5449,37.0530,116.9373,32.7480
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity,combo_002_s2,single,cold_b13000_d2_linear_dtlb_1g_pstr_n262144_p262144_np1_l1_sp65,61648915542,2925311953,260071597,65010100,1228644012,263662141,1228644012,4226602,263661993,263641696,8289631,4226090,466068036,150031844,786395898,131135067,1177098830,694174593,131177731,130935634,361149565,263249531,0.0475,,0.2146,0.0034,0.9999,0.5098,0.3219,0.1668,0.5897,0.9982,0.7289,,88.9039,22.2233,420.0044,90.1313,420.0044,1.4448,90.1312,90.1243,2.8338,1.4447,159.3225,51.2875,268.8246,44.8277,402.3840,237.2993,44.8423,44.7595,123.4568,89.9902
combo_linearity,combo_002_s2,single,hot_b128_bp3_r100_dtlb_64m_pstr_n16384_p16384_np1_l4_sp4,1518425850,26000951,3941393,541,3425832,4008,3425832,41,4008,1101,152,39,5270839,5117605,15646731,5146363,25991839,10373303,5149826,5126374,10269358,9291703,0.0171,,0.0012,0.0000,0.2747,0.2566,0.9709,0.3289,0.3991,0.9954,0.9048,,151.5865,0.0208,131.7579,0.1541,131.7579,0.0016,0.1541,0.0423,0.0058,0.0015,202.7172,196.8238,601.7753,197.9298,999.6496,398.9586,198.0630,197.1610,394.9609,357.3601
combo_linearity,combo_002_s2,canonical,cold_b13000_d2_linear_dtlb_1g_pstr_n262144_p262144_np1_l1_sp65+hot_b128_bp3_r100_dtlb_64m_pstr_n16384_p16384_np1_l4_sp4,63243158223,2951302347,264011809,65045426,1111777935,263870197,1111777935,4226789,263870054,263851178,8295554,4226380,473138565,159239836,805120414,136298719,1202796430,708119552,136314034,136033408,371917391,273816079,0.0467,,0.2373,0.0038,0.9999,0.5095,0.3366,0.1693,0.5887,0.9979,0.7362,,89.4560,22.0396,376.7076,89.4081,376.7076,1.4322,89.4080,89.4016,2.8108,1.4320,160.3152,53.9558,272.8017,46.1826,407.5477,239.9346,46.1878,46.0927,126.0181,92.7781
combo_linearity,combo_002_s2,shuffle_hot_s8192_bp3_dtlb_64m_ps_n16384_p16384_np1_l4_r100_sp4_main_b13000_d2_lin_dtlb_1g_ps_n262144_p262144_np1_l1_r100_sp65,hot_b128_bp3_r100_dtlb_64m_pstr_n16384_p16384_np1_l4_sp4+cold_b13000_d2_linear_dtlb_1g_pstr_n262144_p262144_np1_l1_sp65,63126262952,2951302274,264011799,65028372,1107477819,263854690,1107477819,4226756,263854570,263828035,8287143,4226502,472556788,159437734,803268663,136265227,1202398292,705286770,136286573,136033548,370800181,273447730,0.0468,,0.2382,0.0038,0.9999,0.5100,0.3374,0.1696,0.5866,0.9981,0.7375,,89.4560,22.0338,375.2506,89.4028,375.2506,1.4322,89.4028,89.3938,2.8080,1.4321,160.1181,54.0228,272.1743,46.1712,407.4128,238.9748,46.1785,46.0927,125.6395,92.6532
combo_linearity,combo_002_s2,sum,cold_b13000_d2_linear_dtlb_1g_pstr_n262144_p262144_np1_l1_sp65+hot_b128_bp3_r100_dtlb_64m_pstr_n16384_p16384_np1_l4_sp4,63167341392,2951312904,264012990,65010641,1232069844,263666149,1232069844,4226643,263666001,263642797,8289783,4226129,471338875,155149449,802042629,136281430,1203090669,704547896,136327557,136062008,371418923,272541234,0.0467,,0.2140,0.0034,0.9999,0.5098,0.3292,0.1699,0.5856,0.9981,0.7338,,89.4561,22.0277,417.4650,89.3386,417.4650,1.4321,89.3385,89.3307,2.8088,1.4319,159.7048,52.5696,271.7579,46.1765,407.6459,238.7236,46.1922,46.1022,125.8487,92.3458
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity,combo_003_s2,single,hot_b128_bp2_r100_dtlb_32m_pstr_n65536_p8192_np8_l4_sp5,1071785368,26000957,2661391,441,3398228,3114,3398228,52,3116,1570,133,48,5260428,5118423,15667592,5157536,26006314,10395455,5160135,5125983,10280029,3039731,0.0243,,0.0009,0.0000,0.5039,0.3609,0.9730,0.3292,0.3997,0.9934,0.2957,,102.3574,0.0170,130.6963,0.1198,130.6963,0.0020,0.1198,0.0604,0.0051,0.0018,202.3167,196.8552,602.5775,198.3595,1000.2060,399.8105,198.4594,197.1459,395.3712,116.9084
combo_linearity,combo_003_s2,single,itlb_f2048_l2_r100_dtlb_256m_pstr_n524288_p65536_np8_l2_sp3,31104663113,737692024,20571605,4301,92374206,82305549,92374206,20590190,82305541,82182156,20591906,20545685,82071129,81857821,246138500,81960639,522046464,264026532,81967564,81959457,165023962,156513400,0.0237,,0.8910,0.2229,0.9985,0.9978,0.9974,0.3330,0.5058,0.9999,0.9484,,27.8864,0.0058,125.2206,111.5717,125.2206,27.9116,111.5717,111.4044,27.9140,27.8513,111.2539,110.9648,333.6602,111.1041,707.6754,357.9089,111.1135,111.1025,223.7031,212.1663
combo_linearity,combo_003_s2,canonical,hot_b128_bp2_r100_dtlb_32m_pstr_n65536_p8192_np8_l4_sp5+itlb_f2048_l2_r100_dtlb_256m_pstr_n524288_p65536_np8_l2_sp3,32767515575,763682299,23231803,5654,95826121,82368741,95826121,20590613,82368757,82284272,20593237,20539873,87343869,86962926,261826081,87120061,548234338,277036779,87135331,87092011,175460222,166379285,0.0233,,0.8596,0.2149,0.9990,0.9974,0.9956,0.3327,0.5053,0.9995,0.9482,,30.4208,0.0074,125.4790,107.8573,125.4790,26.9623,107.8574,107.7467,26.9657,26.8958,114.3720,113.8732,342.8469,114.0789,717.8827,362.7644,114.0989,114.0422,229.7555,217.8645
combo_linearity,combo_003_s2,shuffle_itlb_f2048_l2_d0_dtlb_256m_ps_n524288_p65536_np8_l2_r100_sp3_hot_s8192_bp2_dtlb_32m_ps_n65536_p8192_np8_l4_r100_sp5,itlb_f2048_l2_r100_dtlb_256m_pstr_n524288_p65536_np8_l2_sp3+hot_b128_bp2_r100_dtlb_32m_pstr_n65536_p8192_np8_l4_sp5,32958318819,763682299,23231803,4660,95810331,82364746,95810331,20590842,82364749,82273113,20593292,20546721,87335238,86973782,261894050,87149453,548873005,281443991,87159369,87114774,175512291,166427353,0.0232,,0.8597,0.2149,0.9989,0.9977,0.9959,0.3328,0.5128,0.9995,0.9482,,30.4208,0.0061,125.4584,107.8521,125.4584,26.9626,107.8521,107.7321,26.9658,26.9048,114.3607,113.8874,342.9359,114.1174,718.7190,368.5354,114.1304,114.0720,229.8237,217.9275
combo_linearity,combo_003_s2,sum,hot_b128_bp2_r100_dtlb_32m_pstr_n65536_p8192_np8_l4_sp5+itlb_f2048_l2_r100_dtlb_256m_pstr_n524288_p65536_np8_l2_sp3,32176448481,763692981,23232996,4742,95772434,82308663,95772434,20590242,82308657,82183726,20592039,20545733,87331557,86976244,261806092,87118175,548052778,274421987,87127699,87085440,175303991,159553131,0.0237,,0.8594,0.2150,0.9985,0.9978,0.9959,0.3328,0.5007,0.9995,0.9102,,30.4219,0.0062,125.4070,107.7772,125.4070,26.9614,107.7772,107.6136,26.9638,26.9031,114.3543,113.8890,342.8159,114.0749,717.6350,359.3355,114.0873,114.0320,229.5477,208.9231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
