suite,case,order_tag,modules,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
combo_linearity,combo_000_s2,single,mix_b128_ld1_indir_p128_lp4_r100,27429867,20860952,81392,416,2669192,713,2669192,52,714,632,115,24,1416506,1185303,2541997,1062828,3326822,665443,1063813,14,664756,7720,0.7605,,0.0003,0.0000,0.8852,0.2087,0.8368,0.4181,0.2000,0.0000,0.0116,,3.9016,0.0199,127.9516,0.0342,127.9516,0.0025,0.0342,0.0303,0.0055,0.0012,67.9023,56.8192,121.8543,50.9482,159.4760,31.8990,50.9954,0.0007,31.8660,0.3701
combo_linearity,combo_000_s2,single,mix_b128_ld14_lin_p512_lp1_r100,835571369,20860914,81380,543,2701187,1623,2701187,46,1625,712,108,29,18099848,17945840,36189182,17975881,70894944,35872428,17978397,161,35869733,26038,0.0250,,0.0006,0.0000,0.4382,0.2685,0.9915,0.4967,0.5060,0.0000,0.0007,,3.9011,0.0260,129.4856,0.0778,129.4856,0.0022,0.0779,0.0341,0.0052,0.0014,867.6441,860.2614,1734.7841,861.7015,3398.4582,1719.6000,861.8221,0.0077,1719.4708,1.2482
combo_linearity,combo_000_s2,canonical,mix_b128_ld1_indir_p128_lp4_r100+mix_b128_ld14_lin_p512_lp1_r100,913150246,41711214,161580,743,5381914,2760,5381914,47,2764,934,101,28,19515841,19128416,38737748,19041442,74528195,36795590,19044779,287,36792704,96542,0.0457,,0.0005,0.0000,0.3379,0.2772,0.9801,0.4915,0.4937,0.0000,0.0026,,3.8738,0.0178,129.0280,0.0662,129.0280,0.0011,0.0663,0.0224,0.0024,0.0007,467.8800,458.5917,928.7130,456.5065,1786.7664,882.1510,456.5865,0.0069,882.0818,2.3145
combo_linearity,combo_000_s2,shuffle_mixslot6_mix_s8192_l14_mlin_p512_lp1_r100_mixslot4_mix_s8192_l1_mindir_p128_lp4_r100,mix_b128_ld14_lin_p512_lp1_r100+mix_b128_ld1_indir_p128_lp4_r100,938009813,41711214,161580,737,5394732,2636,5394732,44,2641,892,93,29,19518879,19132523,38745253,19044654,74364698,36699401,19047310,296,36696693,111396,0.0445,,0.0005,0.0000,0.3378,0.3118,0.9802,0.4915,0.4935,0.0000,0.0030,,3.8738,0.0177,129.3353,0.0632,129.3353,0.0011,0.0633,0.0214,0.0022,0.0007,467.9528,458.6901,928.8930,456.5835,1782.8466,879.8450,456.6472,0.0071,879.7800,2.6706
combo_linearity,combo_000_s2,sum,mix_b128_ld1_indir_p128_lp4_r100+mix_b128_ld14_lin_p512_lp1_r100,863001236,41721866,162772,959,5370379,2336,5370379,98,2339,1344,223,53,19516354,19131143,38731179,19038709,74221766,36537871,19042210,175,36534489,33758,0.0483,,0.0004,0.0000,0.5746,0.2377,0.9803,0.4916,0.4923,0.0000,0.0009,,3.9014,0.0230,128.7186,0.0560,128.7186,0.0023,0.0561,0.0322,0.0053,0.0013,467.7728,458.5400,928.3185,456.3245,1778.9656,875.7487,456.4084,0.0042,875.6677,0.8091
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
