suite,case,order_tag,modules,cold_block_sequence_blocks,cold_block_sequence_block_align,cold_block_sequence_direct_run_len,cold_block_sequence_region_reps,cold_block_sequence_layout,cold_block_sequence_pos,fetch_amplifier_blocks,fetch_amplifier_block_align,fetch_amplifier_direct_run_len,fetch_amplifier_branch_pairs_per_block,fetch_amplifier_block_slots,fetch_amplifier_region_reps,fetch_amplifier_layout,fetch_amplifier_pos,hot_region_loop_size,hot_region_loop_branch_pairs_per_unit,hot_region_loop_region_reps,hot_region_loop_pos,data_stream_size,data_stream_stride,data_stream_region_reps,data_stream_pos,data_pointer_chase_pages,data_pointer_chase_lines_per_page,data_pointer_chase_region_reps,data_pointer_chase_pos,data_page_stride_pages,data_page_stride_page_stride,data_page_stride_line_index,data_page_stride_region_reps,data_page_stride_pos,data_indirect_gather_pages,data_indirect_gather_lines_per_page,data_indirect_gather_index_stride,data_indirect_gather_region_reps,data_indirect_gather_pos,itlb_funcs,itlb_lines_per_page,itlb_region_reps,itlb_mode,itlb_direct_run_len,itlb_pos,seed,opt_level,iters,rounds,cpu_core,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
dcache_library,dstream_s4194304_st256_r16,single,dstream_s4194304_st256_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,4194304,256,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,3850149167,3932764402,262277023,20226,787639894,946,787639894,48,950,589,858,24,1835661720,51976321,2762453367,8514862,971189829,471124674,8519058,279,471096034,1923450,1.0215,0.0000,0.0000,0.6200,0.0280,0.0283,0.0031,0.4851,0.0000,0.0041,66.6902,0.0051,200.2764,0.0002,200.2764,0.0000,0.0002,0.0001,0.0002,0.0000,466.7612,13.2162,702.4203,2.1651,246.9484,119.7948,2.1662,0.0001,119.7875,0.4891
dcache_library,dstream_s4194304_st4096_r16,single,dstream_s4194304_st4096_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,4194304,4096,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,421829587,246364636,16517082,18145,49789898,655,49789898,44,656,519,131,26,114979981,9750932,188429890,8494615,69130982,32751649,8828704,127,32734729,995642,0.5840,0.0000,0.0000,0.7912,0.1985,0.0848,0.0451,0.4738,0.0000,0.0304,67.0432,0.0737,202.0984,0.0027,202.0984,0.0002,0.0027,0.0021,0.0005,0.0001,466.7065,39.5793,764.8415,34.4798,280.6043,132.9397,35.8359,0.0005,132.8711,4.0413
dcache_library,dptr_p32_l1_r16,single,dptr_p32_l1_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,32,1,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,14297959,11468717,645099,1339,2274456,549,2274456,47,551,495,108,32,5399333,519740,10287436,561089,1059085,1020,563053,21,502,49,0.8021,0.0002,0.0000,0.8984,0.2963,0.0963,0.0545,0.0010,0.0000,0.0976,56.2486,0.1168,198.3183,0.0479,198.3183,0.0041,0.0480,0.0432,0.0094,0.0028,470.7879,45.3181,896.9997,48.9234,92.3456,0.0889,49.0947,0.0018,0.0438,0.0043
dcache_library,dptr_p32_l4_r16,single,dptr_p32_l4_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,32,4,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,39330299,43724665,2181093,17413,8690422,564,8690422,47,567,498,125,32,20763317,561142,32137717,561104,6866048,765577,561908,41,764983,9692,1.1117,0.0001,0.0000,0.8783,0.2560,0.0270,0.0175,0.1115,0.0001,0.0127,49.8824,0.3982,198.7533,0.0129,198.7533,0.0011,0.0130,0.0114,0.0029,0.0007,474.8651,12.8335,735.0020,12.8327,157.0292,17.5090,12.8511,0.0009,17.4955,0.2217
dcache_library,dptr_p128_l1_r16,single,dptr_p128_l1_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,128,1,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,77256273,43724665,2181093,18955,8741875,570,8741875,47,571,494,112,34,20775561,2023755,40025681,2145404,5852307,1701427,2148055,105,1700808,205,0.5660,0.0001,0.0000,0.8651,0.3036,0.0974,0.0536,0.2907,0.0000,0.0001,49.8824,0.4335,199.9301,0.0130,199.9301,0.0011,0.0131,0.0113,0.0026,0.0008,475.1451,46.2841,915.4028,49.0662,133.8445,38.9123,49.1268,0.0024,38.8981,0.0047
dcache_library,dptr_p128_l4_r16,single,dptr_p128_l4_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,128,4,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,183181805,172748665,8325093,17558,33318803,650,33318803,47,653,531,122,35,82229679,1651372,131969561,2145111,40063813,7697868,2145985,111,7696070,1080824,0.9430,0.0000,0.0000,0.8132,0.2869,0.0201,0.0163,0.1921,0.0001,0.1404,48.1919,0.1016,192.8744,0.0038,192.8744,0.0003,0.0038,0.0031,0.0007,0.0002,476.0076,9.5594,763.9397,12.4175,231.9197,44.5611,12.4226,0.0006,44.5507,6.2566
dcache_library,dptr_p512_l1_r16,single,dptr_p512_l1_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,512,1,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,542346881,172748621,8325083,17866,33398703,685,33398703,45,687,491,139,37,82246061,8219928,156226275,8497433,32441511,16433364,8501110,522,16431106,264,0.3185,0.0000,0.0000,0.7147,0.2662,0.0999,0.0544,0.5066,0.0001,0.0000,48.1919,0.1034,193.3370,0.0040,193.3370,0.0003,0.0040,0.0028,0.0008,0.0002,476.1026,47.5832,904.3561,49.1896,187.7961,95.1288,49.2109,0.0030,95.1157,0.0015
dcache_library,dptr_p512_l4_r16,single,dptr_p512_l4_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,512,4,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,1329362634,688844621,32901083,18386,131842081,995,131842081,42,995,529,135,29,328069299,10797026,551734118,8481222,137299891,56058699,8481839,144,56052425,548823,0.5182,0.0000,0.0000,0.5317,0.2148,0.0329,0.0154,0.4083,0.0000,0.0098,47.7627,0.0267,191.3960,0.0014,191.3960,0.0001,0.0014,0.0008,0.0002,0.0000,476.2602,15.6741,800.9558,12.3122,199.3191,81.3808,12.3131,0.0002,81.3717,0.7967
dcache_library,dptr_p2048_l1_r16,single,dptr_p2048_l1_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,2048,1,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,2856733543,688844393,32901022,19330,131998157,1270,131998157,35,1272,497,420,20,328141453,32786062,574890328,9323182,129607962,65758058,9323692,155,65753985,58498,0.2411,0.0000,0.0000,0.3907,0.0476,0.0999,0.0162,0.5074,0.0000,0.0009,47.7626,0.0281,191.6226,0.0018,191.6226,0.0001,0.0018,0.0007,0.0006,0.0000,476.3651,47.5957,834.5721,13.5345,188.1527,95.4614,13.5353,0.0002,95.4555,0.0849
dcache_library,dptr_p2048_l4_r16,single,dptr_p2048_l4_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,2048,4,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,6331421087,2884316408,131205021,19833,525552662,2509,525552662,48,2512,525,168,38,1311454021,36928788,1882332513,9324128,624530182,299315381,9325205,773,299249750,67867285,0.4556,0.0000,0.0000,0.2090,0.2262,0.0282,0.0050,0.4793,0.0001,0.2268,45.4891,0.0069,182.2105,0.0009,182.2105,0.0000,0.0009,0.0002,0.0001,0.0000,454.6845,12.8033,652.6096,3.2327,216.5262,103.7734,3.2331,0.0003,103.7507,23.5298
