suite,case,order_tag,modules,cold_block_sequence_blocks,cold_block_sequence_block_align,cold_block_sequence_direct_run_len,cold_block_sequence_region_reps,cold_block_sequence_layout,cold_block_sequence_pos,fetch_amplifier_blocks,fetch_amplifier_block_align,fetch_amplifier_direct_run_len,fetch_amplifier_branch_pairs_per_block,fetch_amplifier_block_slots,fetch_amplifier_region_reps,fetch_amplifier_layout,fetch_amplifier_pos,hot_region_loop_size,hot_region_loop_branch_pairs_per_unit,hot_region_loop_region_reps,hot_region_loop_pos,data_stream_size,data_stream_stride,data_stream_region_reps,data_stream_pos,data_pointer_chase_pages,data_pointer_chase_lines_per_page,data_pointer_chase_region_reps,data_pointer_chase_pos,data_page_stride_pages,data_page_stride_page_stride,data_page_stride_line_index,data_page_stride_region_reps,data_page_stride_pos,data_indirect_gather_pages,data_indirect_gather_lines_per_page,data_indirect_gather_index_stride,data_indirect_gather_region_reps,data_indirect_gather_pos,itlb_funcs,itlb_lines_per_page,itlb_region_reps,itlb_mode,itlb_direct_run_len,itlb_pos,seed,opt_level,iters,rounds,cpu_core,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
dcache_linearity,combo_2_01,sum,dptr_p512_l4_r16+dstream_s65536_st256_r16,0,64,4,0,in_page_shuffle,3,0,64,1,0,16,0,linear,4,0,3,0,1,65536,256,16,5,512,4,16,6,0,1,0,0,7,0,1,1,0,8,0,1,0,chain,0,2,1337,0,1000,1,0,1230412662,750889295,37130177,36319,144777650,1405,144777650,79,1405,991,1029,40,356981246,10834324,590084890,8481425,139285233,56438351,8482152,149,56431230,124328,0.6103,0.0000,0.0000,0.7053,0.0389,0.0303,0.0144,0.4052,0.0000,0.0022,49.4483,0.0484,192.8082,0.0019,192.8082,0.0001,0.0019,0.0013,0.0014,0.0001,475.4113,14.4287,785.8481,11.2952,185.4937,75.1620,11.2961,0.0002,75.1525,0.1656
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcache_linearity,combo_2_02,single,dptr_p128_l4_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,128,4,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,196885638,172748671,8325091,17498,33323794,549,33323794,40,549,488,117,22,82227034,1745333,133256806,2145142,39588532,8666328,2146015,20,8664960,35690,0.8774,0.0000,0.0000,0.8889,0.1880,0.0212,0.0161,0.2189,0.0000,0.0041,48.1919,0.1013,192.9033,0.0032,192.9033,0.0002,0.0032,0.0028,0.0007,0.0001,475.9923,10.1033,771.3912,12.4177,229.1684,50.1673,12.4228,0.0001,50.1593,0.2066
dcache_linearity,combo_2_02,single,dstream_s4194304_st256_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,4194304,256,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,3984874903,3932764408,262277021,20434,788045679,1041,788045679,45,1043,656,209,23,1835738077,50916575,2765501721,8498553,969820634,470439570,8503334,253,470410294,1316510,0.9869,0.0000,0.0000,0.6290,0.1100,0.0277,0.0031,0.4851,0.0000,0.0028,66.6902,0.0052,200.3796,0.0003,200.3796,0.0000,0.0003,0.0002,0.0001,0.0000,466.7806,12.9468,703.1954,2.1610,246.6002,119.6206,2.1622,0.0001,119.6131,0.3348
dcache_linearity,combo_2_02,canonical,dptr_p128_l4_r16+dstream_s4194304_st256_r16,0,64,4,0,in_page_shuffle,3,0,64,1,0,16,0,linear,4,0,3,0,5,4194304,256,16,2,128,4,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,4198838146,4105471408,270599021,38208,812794382,2478,812794382,37,2479,1249,445,25,1917899441,53509710,2895596979,10647113,1007624366,478318078,10652632,666,478287676,1255055,0.9778,0.0000,0.0000,0.5038,0.0562,0.0279,0.0037,0.4747,0.0001,0.0026,65.9118,0.0093,197.9783,0.0006,197.9783,0.0000,0.0006,0.0003,0.0001,0.0000,467.1569,13.0338,705.3019,2.5934,245.4345,116.5075,2.5947,0.0002,116.5001,0.3057
dcache_linearity,combo_2_02,shuffle_dstream_s4194304_st256_r16_dptr_p128_l4_r16,dstream_s4194304_st256_r16+dptr_p128_l4_r16,0,64,4,0,in_page_shuffle,3,0,64,1,0,16,0,linear,4,0,3,0,5,4194304,256,16,1,128,4,16,2,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,4143077696,4105471402,270599023,37857,813096544,2434,813096544,52,2443,1255,105,44,1917909091,52786041,2897300893,10646977,1009918269,480463686,10653223,724,480433032,1614927,0.9909,0.0000,0.0000,0.5137,0.4190,0.0275,0.0037,0.4757,0.0001,0.0034,65.9118,0.0092,198.0519,0.0006,198.0519,0.0000,0.0006,0.0003,0.0000,0.0000,467.1593,12.8575,705.7170,2.5934,245.9933,117.0301,2.5949,0.0002,117.0226,0.3934
dcache_linearity,combo_2_02,sum,dptr_p128_l4_r16+dstream_s4194304_st256_r16,0,64,4,0,in_page_shuffle,3,0,64,1,0,16,0,linear,4,0,3,0,1,4194304,256,16,5,128,4,16,6,0,1,0,0,7,0,1,1,0,8,0,1,0,chain,0,2,1337,0,1000,1,0,4181760541,4105513079,270602112,37932,821369473,1590,821369473,85,1592,1144,326,45,1917965111,52661908,2898758527,10643695,1009409166,479105898,10649349,273,479075254,1352200,0.9818,0.0000,0.0000,0.7186,0.1380,0.0275,0.0037,0.4746,0.0000,0.0028,65.9119,0.0092,200.0650,0.0004,200.0650,0.0000,0.0004,0.0003,0.0001,0.0000,467.1682,12.8271,706.0649,2.5925,245.8668,116.6982,2.5939,0.0001,116.6907,0.3294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcache_linearity,combo_2_03,single,dgather_p2048_l1_is5_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,0,1,0,6,0,1,0,0,7,2048,1,5,16,1,0,1,0,chain,0,8,1337,0,1000,1,0,1120214015,950988630,32901084,18539,164662912,855,164662912,46,853,515,102,35,426526108,32260358,486821634,10148703,143853221,66169686,10181651,127,66158544,1517,0.8489,0.0000,0.0000,0.6038,0.3431,0.0756,0.0208,0.4600,0.0000,0.0000,34.5967,0.0195,173.1492,0.0009,173.1492,0.0000,0.0009,0.0005,0.0001,0.0000,448.5081,33.9230,511.9111,10.6717,151.2670,69.5799,10.7064,0.0001,69.5682,0.0016
dcache_linearity,combo_2_03,single,dptr_p2048_l1_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,2048,1,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,2947753886,688844406,32901022,19220,131951056,1242,131951056,35,1244,518,326,24,328110855,32792543,574766840,9323145,129462292,65586599,9326328,252,65582337,6247,0.2337,0.0000,0.0000,0.4164,0.0736,0.0999,0.0162,0.5066,0.0000,0.0001,47.7626,0.0279,191.5542,0.0018,191.5542,0.0001,0.0018,0.0008,0.0005,0.0000,476.3207,47.6052,834.3928,13.5345,187.9413,95.2125,13.5391,0.0004,95.2063,0.0091
dcache_linearity,combo_2_03,canonical,dgather_p2048_l1_is5_r16+dptr_p2048_l1_r16,0,64,4,0,in_page_shuffle,3,0,64,1,0,16,0,linear,4,0,3,0,5,0,64,0,6,2048,1,16,2,0,1,0,0,7,2048,1,5,16,1,0,1,0,chain,0,8,1337,0,1000,1,0,4281268417,1639791408,65799021,38231,263916406,2783,263916406,40,2786,917,425,30,754768138,65040420,1050607137,9761155,275878863,132067306,9763631,238,132052286,142282,0.3830,0.0000,0.0000,0.3291,0.0706,0.0862,0.0093,0.4787,0.0000,0.0011,40.1265,0.0233,160.9451,0.0017,160.9451,0.0000,0.0017,0.0006,0.0003,0.0000,460.2830,39.6638,640.6956,5.9527,168.2402,80.5391,5.9542,0.0001,80.5299,0.0868
dcache_linearity,combo_2_03,shuffle_dptr_p2048_l1_r16_dgather_p2048_l1_is5_r16,dptr_p2048_l1_r16+dgather_p2048_l1_is5_r16,0,64,4,0,in_page_shuffle,3,0,64,1,0,16,0,linear,4,0,3,0,5,0,64,0,6,2048,1,16,1,0,1,0,0,7,2048,1,5,16,2,0,1,0,chain,0,8,1337,0,1000,1,0,4561227013,1639791402,65799023,38655,263961717,2893,263961717,38,2896,933,251,25,754806318,65012992,1050597435,9760959,275540995,132084884,9762857,277,132069570,95210,0.3595,0.0000,0.0000,0.3222,0.0996,0.0861,0.0093,0.4794,0.0000,0.0007,40.1265,0.0236,160.9727,0.0018,160.9727,0.0000,0.0018,0.0006,0.0002,0.0000,460.3063,39.6471,640.6897,5.9526,168.0342,80.5498,5.9537,0.0002,80.5405,0.0581
dcache_linearity,combo_2_03,sum,dgather_p2048_l1_is5_r16+dptr_p2048_l1_r16,0,64,4,0,in_page_shuffle,3,0,64,1,0,16,0,linear,4,0,3,0,1,0,64,0,5,2048,1,16,6,0,1,0,0,7,2048,1,5,16,8,0,1,0,chain,0,2,1337,0,1000,1,0,4067967901,1639833036,65802106,37759,296613968,2097,296613968,81,2097,1033,428,59,754636963,65052901,1061588474,19471848,273315513,131756285,19507979,379,131740881,7764,0.4031,0.0000,0.0000,0.4926,0.1379,0.0862,0.0183,0.4821,0.0000,0.0001,40.1273,0.0230,180.8806,0.0013,180.8806,0.0000,0.0013,0.0006,0.0003,0.0000,460.1913,39.6704,647.3760,11.8743,166.6728,80.3474,11.8963,0.0002,80.3380,0.0047
