case,module,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki,params_json
mix_b64_ld2_pstr_p524288_np1_sp17_r100,mixed_region_loop,308747780,10621055,81402,507,1395513,690,1395513,41,690,592,112,40,1419599,1282138,1495472,46356,4876833,2476008,46382,7389,2474629,2442478,0.0344,,0.0005,0.0000,0.8580,0.3571,0.9032,0.0310,0.5077,0.1593,0.9870,,7.6642,0.0477,131.3912,0.0650,131.3912,0.0039,0.0650,0.0557,0.0105,0.0038,133.6589,120.7166,140.8026,4.3645,459.1665,233.1226,4.3670,0.6957,232.9928,229.9657,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld2_pstr_p524288_np4_sp17_r100,mixed_region_loop,309090933,10621055,81402,502,1394900,763,1394900,40,764,600,112,38,1419573,1282521,1494870,46331,4905431,2498738,46357,6949,2497367,2465051,0.0344,,0.0005,0.0000,0.7853,0.3393,0.9035,0.0310,0.5094,0.1499,0.9871,,7.6642,0.0473,131.3335,0.0718,131.3335,0.0038,0.0719,0.0565,0.0105,0.0036,133.6565,120.7527,140.7459,4.3622,461.8591,235.2627,4.3646,0.6543,235.1336,232.0910,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld2_rand_p128_np1_r100,mixed_region_loop,37762707,10620952,81392,437,1388887,631,1388887,51,632,583,105,19,1415852,1220848,2777179,1300071,3653510,938398,1300278,22,937794,1227,0.2813,,0.0005,0.0000,0.9225,0.1810,0.8623,0.4681,0.2568,0.0000,0.0013,,7.6633,0.0411,130.7686,0.0594,130.7686,0.0048,0.0595,0.0549,0.0099,0.0018,133.3074,114.9471,261.4812,122.4063,343.9908,88.3535,122.4257,0.0021,88.2966,0.1155,"{""data_mode"":""random"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld2_rand_p128_np4_r100,mixed_region_loop,38153187,10620952,81392,384,1390303,590,1390303,37,590,550,95,14,1416193,1225693,2462957,1003009,3645456,1059229,1004399,14,1058631,3327,0.2784,,0.0004,0.0000,0.9322,0.1474,0.8655,0.4072,0.2906,0.0000,0.0031,,7.6633,0.0362,130.9019,0.0556,130.9019,0.0035,0.0556,0.0518,0.0089,0.0013,133.3396,115.4033,231.8961,94.4368,343.2325,99.7301,94.5677,0.0013,99.6738,0.3132,"{""data_mode"":""random"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld2_rand_p512_np1_r100,mixed_region_loop,56719649,10620952,81392,580,1392028,638,1392028,44,639,579,90,25,1417161,1280849,2783018,1300907,5057920,2563814,1301222,154,2563099,3273,0.1873,,0.0005,0.0000,0.9061,0.2778,0.9038,0.4674,0.5069,0.0001,0.0013,,7.6633,0.0546,131.0643,0.0601,131.0643,0.0041,0.0602,0.0545,0.0085,0.0024,133.4307,120.5964,262.0309,122.4850,476.2210,241.3921,122.5146,0.0145,241.3248,0.3082,"{""data_mode"":""random"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld2_rand_p512_np4_r100,mixed_region_loop,60288591,10620952,81392,379,1393056,609,1393056,37,608,565,89,19,1417464,1280444,2726887,1244873,5061667,2563321,1245742,66,2562657,7873,0.1762,,0.0004,0.0000,0.9293,0.2135,0.9033,0.4565,0.5064,0.0001,0.0031,,7.6633,0.0357,131.1611,0.0573,131.1611,0.0035,0.0572,0.0532,0.0084,0.0018,133.4592,120.5583,256.7460,117.2092,476.5738,241.3457,117.2910,0.0062,241.2832,0.7413,"{""data_mode"":""random"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld2_rand_p524288_np1_r100,mixed_region_loop,329721871,10620914,81380,575,1400304,787,1400304,38,789,638,107,37,1423993,1284449,2807226,1265510,5097344,2584846,1266952,14247,2583394,2537472,0.0322,,0.0006,0.0000,0.8086,0.3458,0.9020,0.4508,0.5071,0.0112,0.9822,,7.6622,0.0541,131.8440,0.0741,131.8440,0.0036,0.0743,0.0601,0.0101,0.0035,134.0744,120.9358,264.3112,119.1526,479.9346,243.3732,119.2884,1.3414,243.2365,238.9128,"{""data_mode"":""random"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld2_rand_p524288_np4_r100,mixed_region_loop,336225753,10620914,81380,511,1404082,679,1404082,38,679,592,115,37,1423965,1279301,2804540,1265540,5360794,2832294,1266924,11908,2829897,2782854,0.0316,,0.0005,0.0000,0.8719,0.3217,0.8984,0.4512,0.5283,0.0094,0.9834,,7.6622,0.0481,132.1997,0.0639,132.1997,0.0036,0.0639,0.0557,0.0108,0.0035,134.0718,120.4511,264.0583,119.1555,504.7394,266.6714,119.2858,1.1212,266.4457,262.0164,"{""data_mode"":""random"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld4_lin_p128_np1_r100,mixed_region_loop,67539942,10620952,81392,373,1394469,615,1394469,40,617,543,72,14,2700424,2473054,5364644,2582264,7319331,2187546,2584360,14,2186863,2071,0.1573,,0.0004,0.0000,0.8801,0.1944,0.9158,0.4813,0.2989,0.0000,0.0009,,7.6633,0.0351,131.2942,0.0579,131.2942,0.0038,0.0581,0.0511,0.0068,0.0013,254.2544,232.8467,505.1001,243.1292,689.1408,205.9652,243.3266,0.0013,205.9008,0.1950,"{""data_mode"":""linear"",""ldr_count_per_unit"":4,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld4_lin_p128_np4_r100,mixed_region_loop,45798171,10620952,81392,464,1391042,638,1391042,45,636,588,91,16,2698371,860705,3716648,660544,5849604,1310170,661030,18,1309487,6249,0.2319,,0.0005,0.0000,0.9245,0.1758,0.3190,0.1777,0.2240,0.0000,0.0048,,7.6633,0.0437,130.9715,0.0601,130.9715,0.0042,0.0599,0.0554,0.0086,0.0015,254.0611,81.0384,349.9355,62.1925,550.7608,123.3571,62.2383,0.0017,123.2928,0.5884,"{""data_mode"":""linear"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld4_lin_p512_np1_r100,mixed_region_loop,114281319,10620965,81392,381,1398616,643,1398616,42,642,557,80,21,2701930,2552728,5369821,2584551,10416717,5132187,2585275,126,5131276,5584,0.0929,,0.0005,0.0000,0.8676,0.2625,0.9448,0.4813,0.4927,0.0000,0.0011,,7.6633,0.0359,131.6845,0.0605,131.6845,0.0040,0.0604,0.0524,0.0075,0.0020,254.3959,240.3480,505.5869,243.3443,980.7694,483.2129,243.4124,0.0119,483.1271,0.5258,"{""data_mode"":""linear"",""ldr_count_per_unit"":4,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld4_lin_p512_np4_r100,mixed_region_loop,70620174,10620952,81392,454,1392650,667,1392650,39,666,589,86,18,2699402,993466,3867467,660746,8989033,4345482,661386,141,4343773,58949,0.1504,,0.0005,0.0000,0.8844,0.2093,0.3680,0.1708,0.4834,0.0002,0.0136,,7.6633,0.0427,131.1229,0.0628,131.1229,0.0037,0.0627,0.0555,0.0081,0.0017,254.1582,93.5383,364.1356,62.2116,846.3491,409.1424,62.2718,0.0133,408.9815,5.5503,"{""data_mode"":""linear"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld4_lin_p524288_np1_r100,mixed_region_loop,119050174,10620952,81392,500,1395140,643,1395140,39,645,568,95,37,2699768,483690,2724230,7569,11807068,4895199,7590,4946,4863600,4446231,0.0892,,0.0005,0.0000,0.8806,0.3895,0.1792,0.0028,0.4146,0.6516,0.9142,,7.6633,0.0471,131.3573,0.0605,131.3573,0.0037,0.0607,0.0535,0.0089,0.0035,254.1927,45.5411,256.4958,0.7126,1111.6770,460.9002,0.7146,0.4657,457.9251,418.6283,"{""data_mode"":""linear"",""ldr_count_per_unit"":4,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld4_lin_p524288_np4_r100,mixed_region_loop,115379405,10620952,81392,455,1394010,614,1394010,38,615,556,95,36,2699196,468356,2710549,2139,11397109,4434979,2166,1764,4334591,4110362,0.0921,,0.0004,0.0000,0.9041,0.3789,0.1735,0.0008,0.3891,0.8144,0.9483,,7.6633,0.0428,131.2509,0.0578,131.2509,0.0036,0.0579,0.0523,0.0089,0.0034,254.1388,44.0974,255.2077,0.2014,1073.0779,417.5689,0.2039,0.1661,408.1170,387.0050,"{""data_mode"":""linear"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld4_lstr_p128_np4_sl5_r100,mixed_region_loop,73599908,10620952,81392,400,1395178,633,1395178,46,633,578,83,15,2700273,2459954,5368777,2583168,7381703,2252115,2587208,21,2251399,4679,0.1443,,0.0005,0.0000,0.9131,0.1807,0.9110,0.4811,0.3051,0.0000,0.0021,,7.6633,0.0377,131.3609,0.0596,131.3609,0.0043,0.0596,0.0544,0.0078,0.0014,254.2402,231.6133,505.4892,243.2144,695.0133,212.0446,243.5947,0.0020,211.9771,0.4405,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld4_lstr_p512_np4_sl5_r100,mixed_region_loop,114033514,10620952,81392,398,1398464,644,1398464,36,644,574,88,19,2701963,2563599,5370099,2584600,10122046,5127496,2586042,245,5126604,12428,0.0931,,0.0005,0.0000,0.8913,0.2159,0.9488,0.4813,0.5066,0.0001,0.0024,,7.6633,0.0375,131.6703,0.0606,131.6703,0.0034,0.0606,0.0540,0.0083,0.0018,254.3993,241.3719,505.6137,243.3492,953.0262,482.7718,243.4850,0.0231,482.6878,1.1701,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld4_lstr_p524288_np4_sl5_r100,mixed_region_loop,102137475,10620952,81392,476,1394996,710,1394996,41,712,634,90,39,2699547,448323,2728394,9371,9876853,3648121,9397,6137,3616126,3377629,0.1040,,0.0005,0.0000,0.8904,0.4333,0.1661,0.0034,0.3694,0.6531,0.9340,,7.6633,0.0448,131.3438,0.0668,131.3438,0.0039,0.0670,0.0597,0.0085,0.0037,254.1718,42.2112,256.8879,0.8823,929.9405,343.4834,0.8848,0.5778,340.4710,318.0157,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld4_pstr_p128_np1_sp17_r100,mixed_region_loop,72242491,10620952,81392,401,1394869,624,1394869,38,626,562,84,14,2700594,2429659,5375652,2582221,7285210,1866053,2586632,113,1865393,2558,0.1470,,0.0004,0.0000,0.8978,0.1667,0.8997,0.4804,0.2561,0.0000,0.0014,,7.6633,0.0378,131.3318,0.0588,131.3318,0.0036,0.0589,0.0529,0.0079,0.0013,254.2704,228.7609,506.1365,243.1252,685.9282,175.6955,243.5405,0.0106,175.6333,0.2408,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":4,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld4_pstr_p128_np4_sp17_r100,mixed_region_loop,69785003,10620952,81392,382,1394059,616,1394059,45,620,564,80,22,2699760,2441477,5375631,2592107,7051310,1552881,2592980,124,1552193,4193,0.1522,,0.0004,0.0000,0.9097,0.2750,0.9043,0.4822,0.2202,0.0000,0.0027,,7.6633,0.0360,131.2556,0.0580,131.2556,0.0042,0.0584,0.0531,0.0075,0.0021,254.1919,229.8736,506.1346,244.0560,663.9056,146.2092,244.1382,0.0117,146.1444,0.3948,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld4_pstr_p512_np1_sp17_r100,mixed_region_loop,112073790,10620952,81392,384,1398646,670,1398646,32,672,560,76,20,2701852,2563681,5369425,2584502,10128889,5132405,2585248,149,5131707,4056,0.0948,,0.0005,0.0000,0.8333,0.2632,0.9489,0.4813,0.5067,0.0001,0.0008,,7.6633,0.0362,131.6874,0.0631,131.6874,0.0030,0.0633,0.0527,0.0072,0.0019,254.3889,241.3796,505.5503,243.3400,953.6705,483.2340,243.4102,0.0140,483.1683,0.3819,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":4,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld4_pstr_p512_np4_sp17_r100,mixed_region_loop,118448247,10620952,81392,405,1398934,633,1398934,40,633,570,102,27,2701105,2565226,5367363,2583898,10130312,5130924,2584596,318,5130172,10466,0.0897,,0.0005,0.0000,0.9005,0.2647,0.9497,0.4814,0.5065,0.0001,0.0020,,7.6633,0.0381,131.7146,0.0596,131.7146,0.0038,0.0596,0.0537,0.0096,0.0025,254.3185,241.5251,505.3561,243.2831,953.8045,483.0945,243.3488,0.0299,483.0237,0.9854,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld4_pstr_p524288_np1_sp17_r100,mixed_region_loop,616709596,10620908,81382,541,1397256,966,1397256,39,965,648,85,37,2703698,2565614,2837881,92626,9779438,4969561,92662,14009,4967588,4900393,0.0172,,0.0007,0.0000,0.6715,0.4353,0.9489,0.0326,0.5082,0.1512,0.9865,,7.6624,0.0509,131.5571,0.0910,131.5571,0.0037,0.0909,0.0610,0.0080,0.0035,254.5637,241.5626,267.1976,8.7211,920.7723,467.9036,8.7245,1.3190,467.7178,461.3912,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":4,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld4_pstr_p524288_np4_sp17_r100,mixed_region_loop,617088566,10620908,81382,534,1397158,865,1397158,34,865,644,105,32,2703302,2571770,2837707,92636,9792529,4967953,92675,13514,4966125,4902585,0.0172,,0.0006,0.0000,0.7445,0.3048,0.9513,0.0326,0.5073,0.1458,0.9872,,7.6624,0.0503,131.5479,0.0814,131.5479,0.0032,0.0814,0.0606,0.0099,0.0030,254.5264,242.1422,267.1812,8.7220,922.0049,467.7522,8.7257,1.2724,467.5801,461.5975,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld4_rand_p128_np1_r100,mixed_region_loop,67085967,10620952,81392,386,1394201,614,1394201,40,614,548,82,17,2699970,2469211,5361744,2581923,7044177,1915196,2582866,28,1914569,1464,0.1583,,0.0004,0.0000,0.8925,0.2073,0.9145,0.4815,0.2719,0.0000,0.0008,,7.6633,0.0363,131.2689,0.0578,131.2689,0.0038,0.0578,0.0516,0.0077,0.0016,254.2117,232.4849,504.8271,243.0971,663.2340,180.3224,243.1859,0.0026,180.2634,0.1378,"{""data_mode"":""random"",""ldr_count_per_unit"":4,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld4_rand_p128_np4_r100,mixed_region_loop,75366392,10620952,81392,406,1394016,683,1394016,40,682,586,85,16,2699824,2472351,4774242,1992954,7144453,1969095,1996472,18,1968472,3615,0.1409,,0.0005,0.0000,0.8592,0.1882,0.9157,0.4174,0.2756,0.0000,0.0018,,7.6633,0.0382,131.2515,0.0643,131.2515,0.0038,0.0642,0.0552,0.0080,0.0015,254.1979,232.7805,449.5117,187.6436,672.6754,185.3972,187.9749,0.0017,185.3386,0.3404,"{""data_mode"":""random"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld4_rand_p512_np1_r100,mixed_region_loop,110479570,10620952,81392,391,1398685,729,1398685,39,731,573,84,20,2701803,2551725,5369286,2584347,10437621,5133117,2585218,126,5132430,4436,0.0961,,0.0005,0.0000,0.7839,0.2381,0.9445,0.4813,0.4918,0.0000,0.0009,,7.6633,0.0368,131.6911,0.0686,131.6911,0.0037,0.0688,0.0539,0.0079,0.0019,254.3843,240.2539,505.5372,243.3254,982.7387,483.3010,243.4074,0.0119,483.2363,0.4177,"{""data_mode"":""random"",""ldr_count_per_unit"":4,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld4_rand_p512_np4_r100,mixed_region_loop,113551521,10620952,81392,416,1397372,641,1397372,36,642,586,95,34,2701689,2554129,5252682,2471798,10398832,5142913,2473030,122,5142188,29154,0.0935,,0.0005,0.0000,0.9128,0.3579,0.9454,0.4706,0.4946,0.0000,0.0057,,7.6633,0.0392,131.5675,0.0604,131.5675,0.0034,0.0604,0.0552,0.0089,0.0032,254.3735,240.4802,494.5585,232.7285,979.0866,484.2234,232.8445,0.0115,484.1551,2.7450,"{""data_mode"":""random"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld4_rand_p524288_np1_r100,mixed_region_loop,658679048,10620914,81380,466,1420344,924,1420344,43,925,647,112,39,2711153,2568557,5401442,2522095,10201048,5176298,2524351,30700,5174452,5131385,0.0161,,0.0007,0.0000,0.6995,0.3482,0.9474,0.4669,0.5074,0.0122,0.9917,,7.6622,0.0439,133.7309,0.0870,133.7309,0.0040,0.0871,0.0609,0.0105,0.0037,255.2655,241.8395,508.5666,237.4650,960.4680,487.3684,237.6774,2.8905,487.1946,483.1397,"{""data_mode"":""random"",""ldr_count_per_unit"":4,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld4_rand_p524288_np4_r100,mixed_region_loop,658692349,10620908,81382,460,1420310,974,1420310,39,974,724,99,38,2710996,2568254,5363516,2510760,10186409,5168339,2513218,24733,5164882,5132876,0.0161,,0.0007,0.0000,0.7433,0.3838,0.9473,0.4681,0.5074,0.0098,0.9938,,7.6624,0.0433,133.7277,0.0917,133.7277,0.0037,0.0917,0.0682,0.0093,0.0036,255.2509,241.8112,504.9960,236.3979,959.0902,486.6193,236.6293,2.3287,486.2938,483.2803,"{""data_mode"":""random"",""ldr_count_per_unit"":4,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld7_lin_p128_np1_r100,mixed_region_loop,114821731,10620952,81392,429,1398099,663,1398099,49,666,584,100,41,4622503,4303888,9197653,4505672,11016440,2014340,4505878,23,2013715,7248,0.0925,,0.0005,0.0000,0.8769,0.4100,0.9311,0.4899,0.1828,0.0000,0.0036,,7.6633,0.0404,131.6359,0.0624,131.6359,0.0046,0.0627,0.0550,0.0094,0.0039,435.2249,405.2262,865.9914,424.2249,1037.2366,189.6572,424.2443,0.0022,189.5984,0.6824,"{""data_mode"":""linear"",""ldr_count_per_unit"":7,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld7_lin_p128_np4_r100,mixed_region_loop,76132697,10620952,81392,410,1397791,627,1397791,39,628,576,88,20,4621880,1620165,6384485,1150077,9508616,1422934,1151274,115,1422254,5858,0.1395,,0.0004,0.0000,0.9172,0.2273,0.3505,0.1801,0.1496,0.0001,0.0041,,7.6633,0.0386,131.6069,0.0590,131.6069,0.0037,0.0591,0.0542,0.0083,0.0019,435.1663,152.5442,601.1217,108.2838,895.2697,133.9742,108.3965,0.0108,133.9102,0.5516,"{""data_mode"":""linear"",""ldr_count_per_unit"":7,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld7_lin_p512_np1_r100,mixed_region_loop,193844526,10620958,81390,496,1395019,714,1395019,37,715,599,83,23,4619906,4479699,9175141,4503609,17836462,8974068,4503852,144,8973280,35486,0.0548,,0.0005,0.0000,0.8378,0.2771,0.9697,0.4908,0.5031,0.0000,0.0040,,7.6632,0.0467,131.3459,0.0672,131.3459,0.0035,0.0673,0.0564,0.0078,0.0022,434.9802,421.7792,863.8713,424.0304,1679.3647,844.9396,424.0533,0.0136,844.8654,3.3411,"{""data_mode"":""linear"",""ldr_count_per_unit"":7,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld7_lin_p512_np4_r100,mixed_region_loop,123335822,10620952,81392,420,1401438,623,1401438,42,622,567,94,27,4625082,1662908,6640641,1141882,15754077,7608612,1142340,130,7607303,113428,0.0861,,0.0004,0.0000,0.9116,0.2872,0.3595,0.1720,0.4830,0.0001,0.0149,,7.6633,0.0395,131.9503,0.0587,131.9503,0.0040,0.0586,0.0534,0.0089,0.0025,435.4677,156.5686,625.2397,107.5122,1483.3018,716.3776,107.5553,0.0122,716.2543,10.6796,"{""data_mode"":""linear"",""ldr_count_per_unit"":7,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld7_lin_p524288_np1_r100,mixed_region_loop,199598154,10620952,81392,425,1404469,737,1404469,41,738,593,99,39,4623974,852093,4670679,13947,19573839,8057587,13984,8843,7907962,7263634,0.0532,,0.0005,0.0000,0.8035,0.3939,0.1843,0.0030,0.4117,0.6324,0.9185,,7.6633,0.0400,132.2357,0.0694,132.2357,0.0039,0.0695,0.0558,0.0093,0.0037,435.3634,80.2276,439.7609,1.3132,1842.9458,758.6502,1.3166,0.8326,744.5624,683.8967,"{""data_mode"":""linear"",""ldr_count_per_unit"":7,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld7_lin_p524288_np4_r100,mixed_region_loop,197050589,10620952,81392,423,1400104,675,1400104,40,676,602,90,38,4622336,843447,4639404,3555,18907567,7552563,3577,2649,7380224,7041049,0.0539,,0.0005,0.0000,0.8905,0.4222,0.1825,0.0008,0.3994,0.7406,0.9540,,7.6633,0.0398,131.8247,0.0636,131.8247,0.0038,0.0636,0.0567,0.0085,0.0036,435.2092,79.4135,436.8162,0.3347,1780.2140,711.1004,0.3368,0.2494,694.8741,662.9395,"{""data_mode"":""linear"",""ldr_count_per_unit"":7,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld7_lstr_p128_np4_sl5_r100,mixed_region_loop,109399021,10620952,81392,396,1398221,652,1398221,42,651,580,83,12,4622289,4358541,9182436,4501492,11057316,1966577,4502539,12,1965897,9229,0.0971,,0.0005,0.0000,0.8909,0.1446,0.9429,0.4902,0.1779,0.0000,0.0047,,7.6633,0.0373,131.6474,0.0614,131.6474,0.0040,0.0613,0.0546,0.0078,0.0011,435.2048,410.3720,864.5587,423.8313,1041.0852,185.1601,423.9299,0.0011,185.0961,0.8689,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":7,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld7_lstr_p512_np4_sl5_r100,mixed_region_loop,203645335,10620952,81392,475,1393169,733,1393169,40,736,625,93,18,4620972,4482667,9176471,4501475,17778715,8988011,4501547,142,8986580,31910,0.0522,,0.0005,0.0000,0.8492,0.1935,0.9701,0.4905,0.5055,0.0000,0.0036,,7.6633,0.0447,131.1718,0.0690,131.1718,0.0038,0.0693,0.0588,0.0088,0.0017,435.0808,422.0589,863.9970,423.8297,1673.9286,846.2529,423.8365,0.0134,846.1181,3.0044,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":7,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld7_lstr_p524288_np4_sl5_r100,mixed_region_loop,175032764,10620952,81392,430,1403017,645,1403017,40,648,592,98,38,4624000,860814,4677285,16143,16490390,6394856,16166,9729,6316567,5962595,0.0607,,0.0005,0.0000,0.9136,0.3878,0.1862,0.0035,0.3878,0.6018,0.9440,,7.6633,0.0405,132.0990,0.0607,132.0990,0.0038,0.0610,0.0557,0.0092,0.0036,435.3659,81.0487,440.3828,1.5199,1552.6282,602.0982,1.5221,0.9160,594.7270,561.3993,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":7,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld7_pstr_p128_np1_sp17_r100,mixed_region_loop,105715371,10620952,81392,440,1396436,673,1396436,41,676,593,82,16,4623498,4290934,9203013,4506395,11754254,2728831,4506697,21,2728168,5238,0.1005,,0.0005,0.0000,0.8772,0.1951,0.9281,0.4897,0.2322,0.0000,0.0019,,7.6633,0.0414,131.4794,0.0634,131.4794,0.0039,0.0636,0.0558,0.0077,0.0015,435.3186,404.0065,866.4961,424.2929,1106.7044,256.9290,424.3214,0.0020,256.8666,0.4932,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":7,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096,""stride_pages"":17}"
