case,module,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki,params_json
mix_b64_ld1_pstr_p128_np4_sp17_r100,mixed_region_loop,17791145,10621004,81398,416,1387700,657,1387700,48,656,602,93,15,775914,614184,1492980,660249,1709809,428447,660304,26,427817,2132,0.5970,,0.0005,0.0000,0.9177,0.1613,0.7916,0.4422,0.2506,0.0000,0.0050,,7.6639,0.0392,130.6562,0.0619,130.6562,0.0045,0.0618,0.0567,0.0088,0.0014,73.0547,57.8273,140.5686,62.1645,160.9837,40.3396,62.1696,0.0024,40.2803,0.2007,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld1_pstr_p512_np1_sp17_r100,mixed_region_loop,27970002,10620958,81390,485,1389256,644,1389256,52,647,591,111,33,776182,640273,1497615,660321,2529357,1281827,660352,548,1281004,3168,0.3797,,0.0005,0.0000,0.9134,0.2973,0.8249,0.4409,0.5068,0.0008,0.0025,,7.6632,0.0457,130.8033,0.0606,130.8033,0.0049,0.0609,0.0556,0.0105,0.0031,73.0802,60.2839,141.0056,62.1715,238.1477,120.6885,62.1744,0.0516,120.6110,0.2983,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld1_pstr_p512_np4_sp17_r100,mixed_region_loop,28975121,10620958,81390,443,1389065,599,1389065,34,602,561,93,25,776135,640349,1497399,660326,2529345,1282474,660356,112,1281783,6305,0.3666,,0.0004,0.0000,0.9319,0.2688,0.8250,0.4410,0.5070,0.0002,0.0049,,7.6632,0.0417,130.7853,0.0564,130.7853,0.0032,0.0567,0.0528,0.0088,0.0024,73.0758,60.2911,140.9853,62.1720,238.1466,120.7494,62.1748,0.0105,120.6843,0.5936,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld1_pstr_p524288_np1_sp17_r100,mixed_region_loop,154348624,10620952,81392,601,1392620,731,1392620,49,733,595,113,37,778800,640984,832252,24074,2438904,1236067,24107,4529,1234955,1215821,0.0688,,0.0005,0.0000,0.8117,0.3274,0.8230,0.0289,0.5068,0.1879,0.9845,,7.6633,0.0566,131.1201,0.0688,131.1201,0.0046,0.0690,0.0560,0.0106,0.0035,73.3268,60.3509,78.3595,2.2667,229.6314,116.3801,2.2698,0.4264,116.2754,114.4738,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld1_pstr_p524288_np4_sp17_r100,mixed_region_loop,154468225,10620952,81392,497,1391601,638,1391601,39,639,573,84,37,776765,640553,823651,23304,2433240,1233307,23330,3875,1232221,1213240,0.0688,,0.0005,0.0000,0.8967,0.4405,0.8246,0.0283,0.5069,0.1661,0.9846,,7.6633,0.0468,131.0241,0.0601,131.0241,0.0037,0.0602,0.0539,0.0079,0.0035,73.1352,60.3103,77.5496,2.1942,229.0981,116.1202,2.1966,0.3648,116.0179,114.2308,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld1_rand_p128_np1_r100,mixed_region_loop,21476241,10621004,81398,466,1388070,633,1388070,52,637,583,104,39,776151,613934,1498089,660264,1794246,511880,660288,80,511245,1641,0.4945,,0.0005,0.0000,0.9152,0.3750,0.7910,0.4407,0.2853,0.0001,0.0032,,7.6639,0.0439,130.6910,0.0596,130.6910,0.0049,0.0600,0.0549,0.0098,0.0037,73.0770,57.8038,141.0497,62.1659,168.9337,48.1951,62.1681,0.0075,48.1353,0.1545,"{""data_mode"":""random"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld1_rand_p128_np4_r100,mixed_region_loop,18062743,10621004,81398,422,1388054,621,1388054,50,622,589,109,43,776065,617242,1363275,516549,1941001,659039,516587,161,658394,2734,0.5880,,0.0004,0.0000,0.9469,0.3945,0.7953,0.3789,0.3395,0.0003,0.0042,,7.6639,0.0397,130.6895,0.0585,130.6895,0.0047,0.0586,0.0555,0.0103,0.0040,73.0689,58.1152,128.3565,48.6347,182.7512,62.0505,48.6382,0.0152,61.9898,0.2574,"{""data_mode"":""random"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld1_rand_p512_np1_r100,mixed_region_loop,28879504,10620958,81390,425,1389686,641,1389686,51,644,586,103,38,776007,640336,1497053,660335,2529057,1282227,660374,141,1281489,2862,0.3678,,0.0005,0.0000,0.9099,0.3689,0.8252,0.4411,0.5070,0.0002,0.0022,,7.6632,0.0400,130.8438,0.0604,130.8438,0.0048,0.0606,0.0552,0.0097,0.0036,73.0637,60.2899,140.9527,62.1728,238.1195,120.7261,62.1765,0.0133,120.6566,0.2695,"{""data_mode"":""random"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld1_rand_p512_np4_r100,mixed_region_loop,29769886,10620952,81392,402,1389636,624,1389636,42,624,587,90,23,776123,640721,1466926,632184,2534843,1284774,632218,62,1284090,7378,0.3568,,0.0004,0.0000,0.9407,0.2556,0.8255,0.4310,0.5068,0.0001,0.0057,,7.6633,0.0378,130.8391,0.0588,130.8391,0.0040,0.0588,0.0553,0.0085,0.0022,73.0747,60.3261,138.1162,59.5223,238.6644,120.9660,59.5255,0.0058,120.9016,0.6947,"{""data_mode"":""random"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld1_rand_p524288_np1_r100,mixed_region_loop,167104781,10620952,81392,491,1390498,681,1390498,52,684,590,103,44,775904,639912,1498043,640760,2554792,1302672,640817,6217,1301480,1285184,0.0636,,0.0005,0.0000,0.8626,0.4272,0.8247,0.4277,0.5099,0.0097,0.9875,,7.6633,0.0462,130.9203,0.0641,130.9203,0.0049,0.0644,0.0556,0.0097,0.0041,73.0541,60.2500,141.0460,60.3298,240.5427,122.6512,60.3352,0.5854,122.5389,121.0046,"{""data_mode"":""random"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld1_rand_p524288_np4_r100,mixed_region_loop,165179365,10620958,81390,474,1388891,657,1388891,38,659,586,87,37,775688,639831,1499843,640859,2541113,1289549,640913,7824,1287974,1276369,0.0643,,0.0005,0.0000,0.8892,0.4253,0.8249,0.4273,0.5075,0.0122,0.9910,,7.6632,0.0446,130.7689,0.0619,130.7689,0.0036,0.0620,0.0552,0.0082,0.0035,73.0337,60.2423,141.2154,60.3391,239.2546,121.4155,60.3442,0.7367,121.2672,120.1746,"{""data_mode"":""random"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld2_lin_p128_np1_r100,mixed_region_loop,41294405,10620952,81392,440,1388034,623,1388034,35,625,556,82,19,1416295,1226245,2778989,1300074,3516493,942336,1304544,9,941757,881,0.2572,,0.0004,0.0000,0.8896,0.2317,0.8658,0.4678,0.2680,0.0000,0.0009,,7.6633,0.0414,130.6883,0.0587,130.6883,0.0033,0.0588,0.0523,0.0077,0.0018,133.3492,115.4553,261.6516,122.4065,331.0902,88.7242,122.8274,0.0008,88.6697,0.0829,"{""data_mode"":""linear"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld2_lin_p128_np4_r100,mixed_region_loop,22392576,10621004,81398,388,1389217,600,1389217,40,601,560,82,14,1416523,507874,1976455,340004,2787407,439419,341434,22,438820,3560,0.4743,,0.0004,0.0000,0.9318,0.1707,0.3585,0.1720,0.1576,0.0001,0.0081,,7.6639,0.0365,130.7990,0.0565,130.7990,0.0038,0.0566,0.0527,0.0077,0.0013,133.3700,47.8179,186.0893,32.0124,262.4429,41.3726,32.1471,0.0021,41.3162,0.3352,"{""data_mode"":""linear"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld2_lin_p512_np1_r100,mixed_region_loop,55153739,10620952,81392,552,1391768,603,1391768,41,604,554,88,25,1417298,1281087,2785342,1301138,5058664,2563415,1301765,173,2562735,3359,0.1926,,0.0004,0.0000,0.9172,0.2841,0.9039,0.4671,0.5067,0.0001,0.0013,,7.6633,0.0520,131.0399,0.0568,131.0399,0.0039,0.0569,0.0522,0.0083,0.0024,133.4436,120.6188,262.2497,122.5067,476.2910,241.3545,122.5658,0.0163,241.2905,0.3163,"{""data_mode"":""linear"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld2_lin_p512_np4_r100,mixed_region_loop,41131630,10620952,81392,405,1392178,615,1392178,40,614,561,84,26,1416563,603439,2028233,340184,4586062,2208143,340229,180,2207316,25888,0.2582,,0.0004,0.0000,0.9137,0.3095,0.4260,0.1677,0.4815,0.0005,0.0117,,7.6633,0.0381,131.0785,0.0579,131.0785,0.0038,0.0578,0.0528,0.0079,0.0024,133.3744,56.8159,190.9653,32.0295,431.7939,207.9044,32.0338,0.0169,207.8266,2.4374,"{""data_mode"":""linear"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld2_lin_p524288_np1_r100,mixed_region_loop,58850549,10620952,81392,437,1392420,622,1392420,38,623,573,89,35,1417288,241087,1432836,4213,5857803,2398000,4241,2995,2373286,2166887,0.1805,,0.0004,0.0000,0.9197,0.3933,0.1701,0.0029,0.4094,0.7062,0.9130,,7.6633,0.0411,131.1012,0.0586,131.1012,0.0036,0.0587,0.0539,0.0084,0.0033,133.4427,22.6992,134.9066,0.3967,551.5328,225.7801,0.3993,0.2820,223.4532,204.0200,"{""data_mode"":""linear"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld2_lin_p524288_np4_r100,mixed_region_loop,52452192,10620952,81392,471,1391569,611,1391569,42,612,568,92,36,1417208,225363,1425516,1216,5266051,1982544,1252,1081,1965392,1854168,0.2025,,0.0004,0.0000,0.9281,0.3913,0.1590,0.0009,0.3765,0.8634,0.9434,,7.6633,0.0443,131.0211,0.0575,131.0211,0.0040,0.0576,0.0535,0.0087,0.0034,133.4351,21.2187,134.2173,0.1145,495.8172,186.6635,0.1179,0.1018,185.0486,174.5764,"{""data_mode"":""linear"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld2_lstr_p128_np4_sl5_r100,mixed_region_loop,34903359,10620952,81392,457,1389096,649,1389096,52,651,603,101,15,1416184,1243197,2778894,1300185,3918689,1285235,1300234,9,1284582,3577,0.3043,,0.0005,0.0000,0.9263,0.1485,0.8778,0.4679,0.3280,0.0000,0.0028,,7.6633,0.0430,130.7883,0.0611,130.7883,0.0049,0.0613,0.0568,0.0095,0.0014,133.3387,117.0514,261.6426,122.4170,368.9584,121.0094,122.4216,0.0008,120.9479,0.3368,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld2_lstr_p512_np4_sl5_r100,mixed_region_loop,59712156,10620952,81392,498,1391609,678,1391609,43,678,589,73,21,1417425,1268899,2784697,1301183,5360838,2717704,1302176,83,2716686,156359,0.1779,,0.0005,0.0000,0.8687,0.2877,0.8952,0.4673,0.5070,0.0001,0.0576,,7.6633,0.0469,131.0249,0.0638,131.0249,0.0040,0.0638,0.0555,0.0069,0.0020,133.4556,119.4713,262.1890,122.5110,504.7418,255.8814,122.6045,0.0078,255.7855,14.7217,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld2_lstr_p524288_np4_sl5_r100,mixed_region_loop,49401208,10620952,81392,426,1392004,629,1392004,41,630,587,105,38,1417147,239258,1434739,5051,4834377,1820927,5079,3375,1818708,1704599,0.2150,,0.0005,0.0000,0.9317,0.3619,0.1688,0.0035,0.3767,0.6645,0.9373,,7.6633,0.0401,131.0621,0.0592,131.0621,0.0039,0.0593,0.0553,0.0099,0.0036,133.4294,22.5270,135.0857,0.4756,455.1736,171.4467,0.4782,0.3178,171.2378,160.4940,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld2_pstr_p128_np1_sp17_r100,mixed_region_loop,39383846,10620952,81392,450,1389131,599,1389131,40,601,557,80,17,1416207,1220314,2794382,1300064,3812709,1248997,1303649,11,1248395,1147,0.2697,,0.0004,0.0000,0.9268,0.2125,0.8617,0.4652,0.3276,0.0000,0.0009,,7.6633,0.0424,130.7916,0.0564,130.7916,0.0038,0.0566,0.0524,0.0075,0.0016,133.3409,114.8969,263.1009,122.4056,358.9800,117.5975,122.7431,0.0010,117.5408,0.1080,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld2_pstr_p128_np4_sp17_r100,mixed_region_loop,33578222,10620952,81392,426,1388884,598,1388884,41,598,562,77,14,1416362,1215882,2780238,1300075,4193797,1152024,1303864,19,1151392,3061,0.3163,,0.0004,0.0000,0.9398,0.1818,0.8585,0.4676,0.2747,0.0000,0.0027,,7.6633,0.0401,130.7683,0.0563,130.7683,0.0039,0.0563,0.0529,0.0072,0.0013,133.3555,114.4796,261.7692,122.4066,394.8607,108.4671,122.7634,0.0018,108.4076,0.2882,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld2_pstr_p512_np1_sp17_r100,mixed_region_loop,54819877,10620952,81392,525,1391672,606,1391672,43,607,548,89,23,1417315,1267434,2784355,1301164,5379905,2565096,1301847,127,2564406,4599,0.1937,,0.0004,0.0000,0.9028,0.2584,0.8943,0.4673,0.4768,0.0001,0.0018,,7.6633,0.0494,131.0308,0.0571,131.0308,0.0040,0.0572,0.0516,0.0084,0.0022,133.4452,119.3334,262.1568,122.5092,506.5370,241.5128,122.5735,0.0120,241.4478,0.4330,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":2,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096,""stride_pages"":17}"
mix_b64_ld2_pstr_p512_np4_sp17_r100,mixed_region_loop,57911969,10620952,81392,516,1391345,675,1391345,49,676,600,109,39,1417261,1280743,2783221,1301059,5061673,2564781,1301254,62,2564099,8614,0.1834,,0.0005,0.0000,0.8876,0.3578,0.9037,0.4675,0.5067,0.0000,0.0034,,7.6633,0.0486,131.0000,0.0636,131.0000,0.0046,0.0636,0.0565,0.0103,0.0037,133.4401,120.5865,262.0500,122.4993,476.5743,241.4832,122.5176,0.0058,241.4189,0.8110,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":2,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096,""stride_pages"":17}"
