module,case,blocks,block_align,direct_run_len,branch_pairs_per_block,block_slots,region_reps,layout,pos,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki
fetch_amplifier,fetch_b128_d4_bp1_s8_r1000,128,64,4,1,8,1000,linear,1,776997196,1425160034,328042582,18502690,614433055,8001,537587272,1073,7995,3997,2039,1029,1.8342,0.0000,0.0000,0.4999,0.5047,230.1795,12.9829,431.1327,0.0056,377.2119,0.0008,0.0056,0.0028,0.0014,0.0007
fetch_amplifier,fetch_b128_d4_bp2_s8_r1000,128,64,4,2,8,1000,linear,1,776537077,1425157946,456042204,18503323,614144321,6583,537590474,801,6581,3897,1522,760,1.8353,0.0000,0.0000,0.5922,0.4993,319.9941,12.9833,430.9307,0.0046,377.2147,0.0006,0.0046,0.0027,0.0011,0.0005
fetch_amplifier,fetch_b128_d4_bp3_s8_r1000,128,64,4,3,8,1000,linear,1,783298235,1425155612,584041788,18502584,615205554,6223,537719237,1082,6221,3789,2123,1042,1.8194,0.0000,0.0000,0.6091,0.4908,409.8091,12.9829,431.6761,0.0044,377.3056,0.0008,0.0044,0.0027,0.0015,0.0007
fetch_amplifier,fetch_b128_d4_bp0_s16_r1000,128,64,4,0,16,1000,linear,1,789710376,2449173305,200044963,18503616,500643216,6873,443963102,1158,6866,3772,2209,1118,3.1014,0.0000,0.0000,0.5494,0.5061,81.6786,7.5550,204.4131,0.0028,181.2706,0.0005,0.0028,0.0015,0.0009,0.0005
fetch_amplifier,fetch_b128_d4_bp1_s16_r1000,128,64,4,1,16,1000,linear,1,789691799,2449168829,328044161,18502621,500580497,7782,443969720,1165,7778,4076,2225,1125,3.1014,0.0000,0.0000,0.5240,0.5056,133.9410,7.5547,204.3879,0.0032,181.2736,0.0005,0.0032,0.0017,0.0009,0.0005
fetch_amplifier,fetch_b128_d4_bp2_s16_r1000,128,64,4,2,16,1000,linear,1,789660386,2449164463,456043376,18503175,500823999,7961,443974571,830,7954,3824,1677,791,3.1015,0.0000,0.0000,0.4808,0.4717,186.2037,7.5549,204.4877,0.0033,181.2759,0.0003,0.0032,0.0016,0.0007,0.0003
fetch_amplifier,fetch_b128_d4_bp4_s16_r1000,128,64,4,4,16,1000,linear,1,792607349,2449159973,712042570,18514212,505565277,6874,446810562,1157,6872,4005,2209,1113,3.0900,0.0000,0.0000,0.5828,0.5038,290.7293,7.5594,206.4240,0.0028,182.4342,0.0005,0.0028,0.0016,0.0009,0.0005
fetch_amplifier,fetch_b128_d4_bp6_s16_r1000,128,64,4,6,16,1000,linear,1,811347925,2449162191,968042969,18786581,504842114,4473,454069964,1064,4466,3712,1996,1027,3.0186,0.0000,0.0000,0.8312,0.5145,395.2547,7.6706,206.1285,0.0018,185.3981,0.0004,0.0018,0.0015,0.0008,0.0004
fetch_amplifier,fetch_b128_d8_bp0_s4_r1000,128,64,8,0,4,1000,linear,1,440903141,721153396,168041391,6002629,308597116,6006,281342374,788,6004,4305,999,745,1.6356,0.0000,0.0000,0.7170,0.7457,233.0175,8.3237,427.9216,0.0083,390.1283,0.0011,0.0083,0.0060,0.0014,0.0010
fetch_amplifier,fetch_b128_d8_bp1_s4_r1000,128,64,8,1,4,1000,linear,1,440955753,721159977,296042570,6002781,308456891,4645,281329288,631,4643,3650,852,589,1.6354,0.0000,0.0000,0.7861,0.6913,410.5089,8.3238,427.7233,0.0064,390.1066,0.0009,0.0064,0.0051,0.0012,0.0008
