module,case,blocks,block_align,direct_run_len,region_reps,layout,pos,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki
cold_block_sequence,cold_b11000_d1_bitrev,11000,64,1,1,in_page_shuffle,1,477499222,308220787,33050173,10958733,274655097,11548752,193188980,225209,11541954,2999025,232795,7592,0.6455,0.0420,0.0012,0.2598,0.0326,107.2289,35.5548,891.0986,37.4691,626.7876,0.7307,37.4470,9.7301,0.7553,0.0246
cold_block_sequence,cold_b11000_d2_linear,11000,64,2,1,linear,1,257576716,242216361,22049379,5483663,151522299,11072455,119696272,166919,10982710,2615671,356054,7560,0.9404,0.0731,0.0014,0.2382,0.0212,91.0317,22.6395,625.5659,45.7131,494.1709,0.6891,45.3426,10.7989,1.4700,0.0312
cold_block_sequence,cold_b11000_d2_bitrev,11000,64,2,1,in_page_shuffle,1,297224171,242216365,22049380,5451945,173462891,11688719,135896614,253411,11684554,2102651,301994,9991,0.8149,0.0674,0.0019,0.1800,0.0331,91.0318,22.5086,716.1485,48.2573,561.0546,1.0462,48.2402,8.6809,1.2468,0.0412
cold_block_sequence,cold_b11000_d4_linear,11000,64,4,1,linear,1,174512967,209216427,16549391,2740652,85537166,11064734,75990168,169262,10957359,1937016,309728,2814,1.1989,0.1294,0.0022,0.1768,0.0091,79.1018,13.0996,408.8454,52.8865,363.2132,0.8090,52.3733,9.2584,1.4804,0.0135
cold_block_sequence,cold_b11000_d4_bitrev,11000,64,4,1,in_page_shuffle,1,207714606,209223057,16550580,2728423,107998709,11516465,94129656,255691,11509509,1318753,298559,4178,1.0073,0.1066,0.0027,0.1146,0.0140,79.1050,13.0407,516.1893,55.0440,449.9010,1.2221,55.0107,6.3031,1.4270,0.0200
cold_block_sequence,cold_b11000_d8_linear,11000,64,8,1,linear,1,127863032,192716366,13799379,1376758,55034196,11037712,51806068,169593,10938856,1827223,428600,3245,1.5072,0.2006,0.0033,0.1670,0.0076,71.6046,7.1440,285.5710,57.2744,268.8203,0.8800,56.7614,9.4814,2.2240,0.0168
cold_block_sequence,cold_b11000_d8_bitrev,11000,64,8,1,in_page_shuffle,1,160809390,192715995,13799329,1365888,79783809,11637692,73197515,251743,11630973,1000589,300684,5435,1.1984,0.1459,0.0034,0.0860,0.0181,71.6045,7.0876,413.9968,60.3878,379.8207,1.3063,60.3529,5.1920,1.5602,0.0282
cold_block_sequence,cold_b11000_d16_linear,11000,64,16,1,linear,1,101891351,184472371,12425385,693417,43753841,11026623,42979457,170321,10939213,1520628,303171,4155,1.8105,0.2520,0.0040,0.1390,0.0137,67.3563,3.7589,237.1837,59.7738,232.9859,0.9233,59.3000,8.2431,1.6434,0.0225
cold_block_sequence,cold_b11000_d16_bitrev,11000,64,16,1,in_page_shuffle,1,133767328,184474576,12425777,691951,67591557,11523160,65359607,251900,11517033,630733,306768,3922,1.3791,0.1705,0.0039,0.0548,0.0128,67.3577,3.7509,366.4004,62.4648,354.3014,1.3655,62.4315,3.4191,1.6629,0.0213
cold_block_sequence,cold_b12000_d1_linear,12000,64,1,1,linear,1,472828106,336225275,36050980,11973757,274514917,12108310,194315509,183310,12021285,3917652,298040,9671,0.7111,0.0441,0.0009,0.3259,0.0324,107.2227,35.6123,816.4613,36.0125,577.9325,0.5452,35.7537,11.6519,0.8864,0.0288
